Override Genre
Travel & Architecture ▾
Portfolio Category
auto ▾
If you choose a different genre than the model assigned, PhotoCat automatically marks the original decision as wrong and keeps your override active.

This item still needs a portfolio mapping decision. Without an override it will stay excluded from the portfolio export.

[Device] Windows AMD64 | PyTorch 2.5.1+cu124
[Device] GPU: NVIDIA GeForce RTX 3060 Ti | VRAM: 8191 MB total, ~8191 MB free
[Device] Compute: CUDA
Input: F:\Disco2 PORTFOLIO\WebSIte\lr
Cache: F:\Disco2 PORTFOLIO\WebSIte\lr\.photocat_cache
Found 274 image(s). write-xmp=False, workers=1
[192/274] [cache] test2024-192.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[193/274] [cache] test2024-193.jpg: Genre=Food & Product (conf=0.50, status=review, 3ms)
[194/274] [cache] test2024-194.jpg: Genre=Food & Product (conf=0.85, status=auto, 4ms)
[195/274] [cache] test2024-195.jpg: Genre=Food & Product (conf=0.95, status=auto, 5ms)
[196/274] [cache] test2024-196.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[197/274] [cache] test2024-197.jpg: Genre=Food & Product (conf=0.50, status=review, 4ms)
[198/274] [cache] test2024-198.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[199/274] [cache] test2024-199.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[200/274] [cache] test2024-200.jpg: Genre=Food & Product (conf=0.50, status=review, 3ms)
[201/274] [cache] test2024-201.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[202/274] [cache] test2024-202.jpg: Genre=Food & Product (conf=0.89, status=auto, 3ms)
[203/274] [cache] test2024-203.jpg: Genre=Food & Product (conf=0.95, status=auto, 4ms)
[204/274] [cache] test2024-204.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[205/274] [cache] test2024-205.jpg: Genre=Food & Product (conf=0.83, status=auto, 3ms)
[206/274] [cache] test2024-206.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[207/274] [cache] test2024-207.jpg: Genre=Food & Product (conf=0.67, status=review, 3ms)
[208/274] [cache] test2024-208.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[209/274] [cache] test2024-209.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[210/274] [cache] test2024-210.jpg: Genre=Food & Product (conf=0.95, status=auto, 4ms)
[211/274] [cache] test2024-211.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[212/274] [cache] test2024-212.jpg: Genre=Street Documentary (conf=0.50, status=review, 3ms)
[213/274] [cache] test2024-213.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[214/274] [cache] test2024-214.jpg: Genre=Street Documentary (conf=0.62, status=review, 3ms)
[215/274] [cache] test2024-215.jpg: Genre=Street Documentary (conf=0.95, status=auto, 3ms)
[216/274] [cache] test2024-216.jpg: Genre=Events & Music (conf=0.80, status=review, 3ms)
[217/274] [cache] test2024-217.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[218/274] [cache] test2024-218.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[219/274] [cache] test2024-219.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[220/274] [cache] test2024-220.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[221/274] [cache] test2024-221.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[222/274] [cache] test2024-222.jpg: Genre=Branding & Portrait (conf=0.53, status=review, 3ms)
[223/274] [cache] test2024-223.jpg: Genre=Branding & Portrait (conf=0.59, status=review, 3ms)
[224/274] [cache] test2024-224.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[225/274] [cache] test2024-225.jpg: Genre=Branding & Portrait (conf=0.91, status=auto, 3ms)
[226/274] [cache] test2024-226.jpg: Genre=Branding & Portrait (conf=0.87, status=auto, 3ms)
[227/274] [cache] test2024-227.jpg: Genre=Branding & Portrait (conf=0.86, status=auto, 3ms)
[228/274] [cache] test2024-228.jpg: Genre=Branding & Portrait (conf=0.74, status=review, 3ms)
[229/274] [cache] test2024-229.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[230/274] [cache] test2024-230.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[231/274] [cache] test2024-231.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[232/274] [cache] test2024-232.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[233/274] [cache] test2024-233.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[234/274] [cache] test2024-234.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[235/274] [cache] test2024-235.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 4ms)
[236/274] [cache] test2024-236.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[237/274] [cache] test2024-237.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[238/274] [cache] test2024-238.jpg: Genre=Nature & Landscape (conf=0.94, status=auto, 3ms)
[239/274] [cache] test2024-239.jpg: Genre=Branding & Portrait (conf=0.88, status=auto, 3ms)
[240/274] [cache] test2024-240.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[241/274] [cache] test2024-241.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 3ms)
[242/274] [cache] test2024-242.jpg: Genre=Wedding Photography (conf=0.95, status=auto, 4ms)
[243/274] [cache] test2024-243.jpg: Genre=Events & Music (conf=0.95, status=auto, 3ms)
[244/274] [cache] test2024-244.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[245/274] [cache] test2024-245.jpg: Genre=Events & Music (conf=0.82, status=auto, 3ms)
[246/274] [cache] test2024-246.jpg: Genre=Food & Product (conf=0.95, status=auto, 4ms)
